,City,Longitude,Latitude,Address
0,Berkeley,-122.272726,37.870736,"1907, Center Street, Downtown Berkeley, Berkeley, Alameda County, California, 94704, United States of America"
1,Berkeley,-122.272842,37.869309,"1834, Allston Way, Downtown Berkeley, Berkeley, Alameda County, California, 94703, United States of America"
2,Berkeley,-122.270513,37.868591,"Berkeley High School, Allston Way, Downtown Berkeley, Berkeley, Alameda County, California, 94704, United States of America"
3,Berkeley,-122.270493,37.871372,"Touriel Building, University Avenue, Downtown Berkeley, Berkeley, Alameda County, California, 94704, United States of America"
4,Berkeley,-122.270816,37.86654,"Berkeley High School, Allston Way, Downtown Berkeley, Berkeley, Alameda County, California, 94704, United States of America"
5,Berkeley,-122.269026,37.865898,"Varsity Berkeley, Channing Way, Downtown Berkeley, Berkeley, Alameda County, California, 94703, United States of America"
6,Berkeley,-122.267851,37.866822,"The UPS Store, 2342, Shattuck Avenue, Downtown Berkeley, Berkeley, Alameda County, California, 94704, United States of America"
7,Berkeley,-122.269105,37.871171,"Nevo Education Center, Addison Street, Downtown Berkeley, Berkeley, Alameda County, California, 94704, United States of America"
8,Berkeley,-122.272663,37.870523,"2101, Addison Street, Downtown Berkeley, Berkeley, Alameda County, California, 94704, United States of America"
9,Berkeley,-122.271753,37.868193,"Berkeley Community Theater, 1930, Allston Way, Downtown Berkeley, Berkeley, Alameda County, California, 94704, United States of America"
10,Berkeley,-122.272431,37.871562,"1926, University Avenue, Downtown Berkeley, Berkeley, Alameda County, California, 94704, United States of America"
11,Berkeley,-122.271648,37.866471,"Berkeley High School, Allston Way, Downtown Berkeley, Berkeley, Alameda County, California, 94704, United States of America"
12,Berkeley,-122.26909,37.86586,"Varsity Berkeley, Channing Way, Downtown Berkeley, Berkeley, Alameda County, California, 94703, United States of America"
13,Berkeley,-122.267872,37.869614,"Target express, 2187, Shattuck Avenue, Downtown Berkeley, Berkeley, Alameda County, California, 94704, United States of America"
14,Berkeley,-122.266417,37.865994,"Berkeley Buddhist Temple, Channing Way, Downtown Berkeley, Berkeley, Alameda County, California, 94703, United States of America"
15,Berkeley,-122.272715,37.86938,"1907, Center Street, Downtown Berkeley, Berkeley, Alameda County, California, 94704, United States of America"
16,Berkeley,-122.268871,37.869812,"Allston Way Garage, Allston Way, Downtown Berkeley, Berkeley, Alameda County, California, 94704, United States of America"
17,Berkeley,-122.269404,37.870697,"Freight & Salvage, 2020, Addison Street, Downtown Berkeley, Berkeley, Alameda County, California, 94704, United States of America"
18,Berkeley,-122.272401,37.872493,"1912, Berkeley Way, Downtown Berkeley, Berkeley, Alameda County, California, 94704, United States of America"
19,Berkeley,-122.267173,37.870912,"2101, Shattuck Avenue, Downtown Berkeley, Berkeley, Alameda County, California, 94704, United States of America"
20,Berkeley,-122.259474,37.869799,"César E. Chavez Student Center, Sproul Plaza, Southside, Berkeley, Alameda County, California, United States of America"
21,Berkeley,-122.260373,37.866893,"Priestley Hall, Channing Way, Southside, Berkeley, Alameda County, California, 94704, United States of America"
22,Berkeley,-122.260509,37.869116,"Zellerbach Hall, Lower Sproul Plaza, Southside, Berkeley, Alameda County, California, United States of America"
23,Berkeley,-122.258472,37.869086,"Hearst Field Annex, Barrow Lane, Southside, Berkeley, Alameda County, California, 94720, United States of America"
24,Berkeley,-122.261339,37.868155,"David Blackwell Hall, 2401, Durant Avenue, Southside, Berkeley, Alameda County, California, 94704, United States of America"
25,Berkeley,-122.258959,37.868882,"Sproul Hall, Sproul Plaza, Southside, Berkeley, Alameda County, California, United States of America"
26,Berkeley,-122.259373,37.868429,"Walgreens, Telegraph Avenue, Southside, Berkeley, Alameda County, California, 94720, United States of America"
27,Berkeley,-122.258609,37.868077,"United States Post Office, 2515, Durant Avenue, Southside, Berkeley, Alameda County, California, 94704, United States of America"
28,Berkeley,-122.260509,37.86875,"Eshleman Hall, Lower Sproul Plaza, Southside, Berkeley, Alameda County, California, United States of America"
29,Berkeley,-122.258249,37.869337,"Hearst Field Annex, Barrow Lane, Southside, Berkeley, Alameda County, California, 94720, United States of America"
30,Berkeley,-122.260052,37.873618,"C V Starr East Asian Library, University Drive, Northside, Berkeley, Alameda County, California, 94720, United States of America"
31,Berkeley,-122.25894,37.874722,"O'Brien Hall, Soule Road, Northside, Berkeley, Alameda County, California, 94720, United States of America"
32,Berkeley,-122.259029,37.873537,"Harmer E. Davis Transportation Library, University Drive, Northside, Berkeley, Alameda County, California, 94720, United States of America"
33,Berkeley,-122.25839,37.874339,"Bechtel Engineering Center, Bechtel Drive, Northside, Berkeley, Alameda County, California, 94720, United States of America"
34,Berkeley,-122.257991,37.87391,"Evans Hall, Bechtel Drive, Northside, Berkeley, Alameda County, California, 94720, United States of America"
35,Berkeley,-122.257514,37.874725,"Hearst Memorial Mining Building, Bechtel Drive, Northside, Berkeley, Alameda County, California, 94720, United States of America"
36,Berkeley,-122.259813,37.875743,"The Snack Shack, Hearst Avenue, Northside, Berkeley, Alameda County, California, 94720, United States of America"
37,Berkeley,-122.259746,37.875532,"Camille, Hearst Avenue, Northside, Berkeley, Alameda County, California, 94720, United States of America"
38,Berkeley,-122.256695,37.873517,"University Drive, Northside, Berkeley, Alameda County, California, 94720, United States of America"
39,Berkeley,-122.256667,37.875382,"Gayley Road, Northside, Berkeley, Alameda County, California, 94720, United States of America"
40,Berkeley,-122.299976,37.862476,"646, Bancroft Way, West Berkeley, Berkeley, Alameda County, California, 94710, United States of America"
41,Berkeley,-122.299537,37.87656,"898, Page Street, Ocean View, Berkeley, Alameda County, California, 94710, United States of America"
42,Berkeley,-122.274216,37.858731,"1730, Derby Street, South Berkeley, Berkeley, Alameda County, California, 94703, United States of America"
43,Berkeley,-122.284509,37.855357,"Olive Grove Missionary Baptist Church, Mabel Street, San Pablo Park, Berkeley, Alameda County, California, 94703, United States of America"
44,Berkeley,-122.277487,37.863001,"2506, McGee Avenue, South Berkeley, Berkeley, Alameda County, California, 94703, United States of America"
45,Berkeley,-122.283492,37.876815,"1473, Cedar Street, Westbrae, Berkeley, Alameda County, California, 94702, United States of America"
46,Berkeley,-122.294186,37.874465,"Golden Bear Inn, 1620, San Pablo Avenue, West Berkeley, Berkeley, Alameda County, California, 94710, United States of America"
47,Berkeley,-122.30057,37.853366,"Bay Trail, Ocean View, Berkeley, Alameda County, California, 94710, United States of America"
48,Berkeley,-122.280323,37.851858,"3068, Dohr Street, Harmon Tract, Berkeley, Alameda County, California, 94702, United States of America"
49,Berkeley,-122.291388,37.856802,"949, Pardee Street, San Pablo Park, Berkeley, Alameda County, California, 94710, United States of America"
50,Berkeley,-122.263997,37.865528,"Jones Child Study Center, Atherton Street, LeConte, Berkeley, Alameda County, California, 94704, United States of America"
51,Berkeley,-122.261334,37.863564,"2334, Blake Street, LeConte, Berkeley, Alameda County, California, 94704, United States of America"
52,Berkeley,-122.277048,37.867803,"2221, McGee Avenue, South Berkeley, Berkeley, Alameda County, California, 94703, United States of America"
53,Berkeley,-122.258886,37.854287,"Mokka, Dowling Place, Elmwood, Berkeley, Alameda County, California, 94705, United States of America"
54,Berkeley,-122.265923,37.856799,"Church by the Side of the Road, 2108, Russell Street, South Berkeley, Berkeley, Alameda County, California, 94705, United States of America"
55,Berkeley,-122.270808,37.85676,"Wat Mongkolratanaram, 1911, Russell Street, South Berkeley, Berkeley, Alameda County, California, 95704, United States of America"
56,Berkeley,-122.28964,37.87685,"1242, Rose Street, Westbrae, Berkeley, Alameda County, California, 94702, United States of America"
57,Berkeley,-122.295627,37.869223,"1945, Eighth Street, West Berkeley, Berkeley, Alameda County, California, 94710, United States of America"
58,Berkeley,-122.276906,37.873025,"Ohlone Community Garden, Ohlone Greenway, North Berkeley, Berkeley, Alameda County, California, 94704, United States of America"
